5,5,5,9,5,13,7,0,0,2,-4,8,0.961769203,0.961769203,0.961769203
9,1,9,5,9,1,7,-8,8,-2,-4,8,0.961769203,0.961769203,0.961769203
9,1,9,5,13,1,7,-8,8,-2,-4,12,0.961769203,0.961769203,0.961769203
9,1,9,5,5,9,7,-8,8,-2,0,4,0.961769203,0.961769203,0.961769203
5,1,9,9,13,13,7,-4,8,2,4,0,0.961769203,0.961769203,0.961769203
9,5,9,5,5,1,7,-4,4,-2,-4,4,0.961769203,0.961769203,0.961769203
5,5,9,5,13,1,5,0,4,0,-4,12,0.961769203,0.961769203,0.961769203
5,5,9,9,9,5,7,0,4,2,-4,4,0.961769203,0.961769203,0.961769203
9,5,9,5,9,9,7,-4,4,-2,4,0,0.961769203,0.961769203,0.961769203
5,5,9,9,1,13,7,0,4,2,-8,12,0.961769203,0.961769203,0.961769203
5,9,9,5,1,9,5,4,0,0,-4,8,0.961769203,0.961769203,0.961769203
5,1,13,13,13,1,9,-4,12,4,-12,12,0.961769203,0.961769203,0.961769203
5,5,13,9,9,1,7,0,8,2,-8,8,0.961769203,0.961769203,0.961769203
9,5,13,9,13,1,9,-4,8,0,-8,12,0.961769203,0.961769203,0.961769203
5,5,13,13,13,1,9,0,8,4,-12,12,0.961769203,0.961769203,0.961769203
5,5,13,9,1,13,7,0,8,2,-8,12,0.961769203,0.961769203,0.961769203
5,5,13,9,5,13,7,0,8,2,-4,8,0.961769203,0.961769203,0.961769203
5,5,13,13,5,13,9,0,8,4,-8,8,0.961769203,0.961769203,0.961769203
5,9,13,5,1,9,5,4,4,0,-4,8,0.961769203,0.961769203,0.961769203
13,9,13,9,9,9,11,-4,4,-2,0,0,0.961769203,0.961769203,0.961769203
9,9,13,13,13,9,11,0,4,2,-4,4,0.961769203,0.961769203,0.961769203
9,9,13,5,1,13,7,0,4,-2,-4,12,0.961769203,0.961769203,0.961769203
5,13,13,5,1,5,5,8,0,0,-4,4,0.961769203,0.961769203,0.961769203
13,13,13,9,13,5,11,0,0,-2,-4,8,0.961769203,0.961769203,0.961769203
5,13,13,9,5,9,7,8,0,2,-4,4,0.961769203,0.961769203,0.961769203
9,13,13,9,5,9,9,4,0,0,-4,4,0.961769203,0.961769203,0.961769203
5,13,13,9,5,13,7,8,0,2,-4,8,0.961769203,0.961769203,0.961769203
5,1,9,5,13,1,5,-4,8,0,-4,12,0.95,0.95,0.95
5,1,13,5,5,13,5,-4,12,0,0,8,0.95,0.95,0.95
5,9,13,5,1,13,5,4,4,0,-4,12,0.95,0.95,0.95
5,5,5,9,9,5,7,0,0,2,-4,4,0.949670996,0.949670996,0.949670996
5,1,9,5,13,13,5,-4,8,0,8,0,0.949670996,0.949670996,0.949670996
5,5,9,5,1,13,5,0,4,0,-4,12,0.949670996,0.949670996,0.949670996
9,9,9,5,1,5,7,0,0,-2,-4,4,0.949670996,0.949670996,0.949670996
5,1,13,5,13,9,5,-4,12,0,4,4,0.949670996,0.949670996,0.949670996
9,5,13,5,5,1,7,-4,8,-2,-4,4,0.949670996,0.949670996,0.949670996
9,5,13,5,13,5,7,-4,8,-2,0,8,0.949670996,0.949670996,0.949670996
9,9,13,9,9,5,9,0,4,0,-4,4,0.949670996,0.949670996,0.949670996
9,9,13,5,1,9,7,0,4,-2,-4,8,0.949670996,0.949670996,0.949670996
5,13,13,5,9,1,5,8,0,0,-4,8,0.949670996,0.949670996,0.949670996
9,13,13,5,1,5,7,4,0,-2,-4,4,0.949670996,0.949670996,0.949670996
13,13,13,9,5,13,11,0,0,-2,-4,8,0.949670996,0.949670996,0.949670996
5,1,5,9,13,1,7,-4,4,2,-8,12,0.948683298,0.948683298,0.948683298
5,1,5,13,13,13,9,-4,4,4,0,0,0.948683298,0.948683298,0.948683298
5,1,9,9,9,9,7,-4,8,2,0,0,0.948683298,0.948683298,0.948683298
5,5,9,5,5,1,5,0,4,0,-4,4,0.948683298,0.948683298,0.948683298
9,5,9,5,5,13,7,-4,4,-2,0,8,0.948683298,0.948683298,0.948683298
9,9,9,9,1,13,9,0,0,0,-8,12,0.948683298,0.948683298,0.948683298
5,9,9,13,9,13,9,4,0,4,-4,4,0.948683298,0.948683298,0.948683298
9,1,13,5,9,1,7,-8,12,-2,-4,8,0.948683298,0.948683298,0.948683298
9,1,13,9,9,1,9,-8,12,0,-8,8,0.948683298,0.948683298,0.948683298
13,1,13,9,9,1,11,-12,12,-2,-8,8,0.948683298,0.948683298,0.948683298
9,1,13,5,13,1,7,-8,12,-2,-4,12,0.948683298,0.948683298,0.948683298
13,1,13,9,13,1,11,-12,12,-2,-8,12,0.948683298,0.948683298,0.948683298
5,1,13,9,9,9,7,-4,12,2,0,0,0.948683298,0.948683298,0.948683298
5,1,13,9,13,13,7,-4,12,2,4,0,0.948683298,0.948683298,0.948683298
13,5,13,13,13,1,13,-8,8,0,-12,12,0.948683298,0.948683298,0.948683298
13,5,13,9,9,5,11,-8,8,-2,-4,4,0.948683298,0.948683298,0.948683298
9,5,13,13,13,5,11,-4,8,2,-8,8,0.948683298,0.948683298,0.948683298
9,5,13,13,13,9,11,-4,8,2,-4,4,0.948683298,0.948683298,0.948683298
5,5,13,13,1,13,9,0,8,4,-12,12,0.948683298,0.948683298,0.948683298
13,9,13,5,5,1,9,-4,4,-4,-4,4,0.948683298,0.948683298,0.948683298
13,9,13,5,9,1,9,-4,4,-4,-4,8,0.948683298,0.948683298,0.948683298
9,9,13,9,9,1,9,0,4,0,-8,8,0.948683298,0.948683298,0.948683298
13,9,13,9,9,1,11,-4,4,-2,-8,8,0.948683298,0.948683298,0.948683298
13,9,13,13,13,1,13,-4,4,0,-12,12,0.948683298,0.948683298,0.948683298
9,9,13,13,13,5,11,0,4,2,-8,8,0.948683298,0.948683298,0.948683298
5,9,13,13,13,9,9,4,4,4,-4,4,0.948683298,0.948683298,0.948683298
13,9,13,13,13,9,13,-4,4,0,-4,4,0.948683298,0.948683298,0.948683298
9,13,13,5,1,9,7,4,0,-2,-4,8,0.948683298,0.948683298,0.948683298
9,13,13,5,1,13,7,4,0,-2,-4,12,0.948683298,0.948683298,0.948683298
5,5,5,5,9,1,5,0,0,0,-4,8,0.937416663,0.937416663,0.937416663
5,9,9,5,5,1,5,4,0,0,-4,4,0.937416663,0.937416663,0.937416663
9,9,13,5,5,1,7,0,4,-2,-4,4,0.937416663,0.937416663,0.937416663
13,13,13,5,13,1,9,0,0,-4,-4,12,0.937416663,0.937416663,0.937416663
5,1,5,5,5,9,5,-4,4,0,0,4,0.9367497,0.9367497,0.9367497
5,1,5,5,9,9,5,-4,4,0,4,0,0.9367497,0.9367497,0.9367497
5,1,5,5,13,13,5,-4,4,0,8,0,0.9367497,0.9367497,0.9367497
9,1,9,9,5,5,9,-8,8,0,-4,0,0.9367497,0.9367497,0.9367497
5,1,13,9,13,5,7,-4,12,2,-4,8,0.9367497,0.9367497,0.9367497
5,1,13,5,9,9,5,-4,12,0,4,0,0.9367497,0.9367497,0.9367497
9,9,13,5,9,1,7,0,4,-2,-4,8,0.9367497,0.9367497,0.9367497
9,9,13,13,1,13,11,0,4,2,-12,12,0.9367497,0.9367497,0.9367497
5,13,13,5,13,1,5,8,0,0,-4,12,0.9367497,0.9367497,0.9367497
5,1,5,5,5,1,5,-4,4,0,-4,4,0.935414347,0.935414347,0.935414347
